No,feedrate,clamp_pressure,tool_condition,machining_finalized,passed_visual_inspection
1,6,4.0,unworn,yes,yes
2,20,4.0,unworn,yes,yes
3,6,3.0,unworn,yes,yes
4,6,2.5,unworn,no,No
5,20,3.0,unworn,no,No
6,6,4.0,worn,yes,no
7,20,4.0,worn,no,No
8,20,4.0,worn,yes,no
9,15,4.0,worn,yes,no
10,12,4.0,worn,yes,no
11,3,4.0,unworn,yes,yes
12,3,3.0,unworn,yes,yes
13,3,4.0,worn,yes,yes
14,3,3.0,worn,yes,yes
15,6,3.0,worn,yes,yes
16,20,3.0,worn,no,No
17,3,2.5,unworn,yes,yes
18,3,2.5,worn,yes,yes
